"Error","Code","Description"
"ERRINFO_DNGCACHEERRORPDUBADLENGTH","4343","There is not enough data to process a DrawNineGrid Cache Error PDU ([MS-RDPEGDI] section 2.2.2.3.3)."
"ERRINFO_GDIPLUSPDUBADLENGTH","4344","There is not enough data to process a GDI+ Error PDU ([MS-RDPEGDI] section 2.2.2.3.4)."
"ERRINFO_SECURITYDATATOOSHORT2","4369","There is not enough data to read a Basic Security Header (section 2.2.8.1.1.2.1)."
"ERRINFO_SECURITYDATATOOSHORT3","4370","There is not enough data to read a Non-FIPS Security Header (section 2.2.8.1.1.2.2) or FIPS Security Header (section 2.2.8.1.1.2.3)."
"ERRINFO_SECURITYDATATOOSHORT4","4371","There is not enough data to read the basicSecurityHeader and length fields of the Security Exchange PDU Data (section 2.2.1.10.1)."
"ERRINFO_SECURITYDATATOOSHORT5","4372","There is not enough data to read the CodePage, flags, cbDomain, cbUserName, cbPassword, cbAlternateShell, cbWorkingDir, Domain, UserName, Password, AlternateShell, and WorkingDir fields in the Info Packet (section 2.2.1.11.1.1)."
"ERRINFO_SECURITYDATATOOSHORT6","4373","There is not enough data to read the CodePage, flags, cbDomain, cbUserName, cbPassword, cbAlternateShell, and cbWorkingDir fields in the Info Packet (section 2.2.1.11.1.1)."
"ERRINFO_SECURITYDATATOOSHORT7","4374","There is not enough data to read the clientAddressFamily and cbClientAddress fields in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT8","4375","There is not enough data to read the clientAddress field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT9","4376","There is not enough data to read the cbClientDir field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT10","4377","There is not enough data to read the clientDir field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT11","4378","There is not enough data to read the clientTimeZone field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT12","4379","There is not enough data to read the clientSessionId field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT13","4380","There is not enough data to read the performanceFlags field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT14","4381","There is not enough data to read the cbAutoReconnectCookie field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT15","4382","There is not enough data to read the autoReconnectCookie field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT16","4383","The cbAutoReconnectCookie field in the Extended Info Packet (section 2.2.1.11.1.1.1) contains a value which is larger than the maximum allowed length of 128 bytes."
"ERRINFO_SECURITYDATATOOSHORT17","4384","There is not enough data to read the clientAddressFamily and cbClientAddress fields in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT18","4385","There is not enough data to read the clientAddress field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT19","4386","There is not enough data to read the cbClientDir field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT20","4387","There is not enough data to read the clientDir field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT21","4388","There is not enough data to read the clientTimeZone field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT22","4389","There is not enough data to read the clientSessionId field in the Extended Info Packet (section 2.2.1.11.1.1.1)."
"ERRINFO_SECURITYDATATOOSHORT23","4390","There is not enough data to read the Client Info PDU Data (section 2.2.1.11.1)."
