Code,URL,Name
0x0000007C,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x7c__bugcode_ndis_driver.htm,BUGCODE_NDIS_DRIVER
0x0000007D,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x7d__install_more_memory.htm,INSTALL_MORE_MEMORY
0x0000007E,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x7e__system_thread_exception_not_handled.htm,SYSTEM_THREAD_EXCEPTION_NOT_HANDLED
0x0000007F,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x7f__unexpected_kernel_mode_trap.htm,UNEXPECTED_KERNEL_MODE_TRAP
0x00000080,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x80__nmi_hardware_failure.htm,NMI_HARDWARE_FAILURE
0x00000081,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x81__spin_lock_init_failure.htm,SPIN_LOCK_INIT_FAILURE
0x00000082,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x82__dfs_file_system.htm,DFS_FILE_SYSTEM
0x00000085,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x85__setup_failure.htm,SETUP_FAILURE
0x0000008B,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x8b__mbr_checksum_mismatch.htm,MBR_CHECKSUM_MISMATCH
0x0000008E,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x8e__kernel_mode_exception_not_handled.htm,KERNEL_MODE_EXCEPTION_NOT_HANDLED
0x0000008F,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x8f__pp0_initialization_failed.htm,PP0_INITIALIZATION_FAILED
0x00000090,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x90__pp1_initialization_failed.htm,PP1_INITIALIZATION_FAILED
0x00000092,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x92__up_driver_on_mp_system.htm,UP_DRIVER_ON_MP_SYSTEM
0x00000093,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x93__invalid_kernel_handle.htm,INVALID_KERNEL_HANDLE
0x00000094,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x94__kernel_stack_locked_at_exit.htm,KERNEL_STACK_LOCKED_AT_EXIT
0x00000096,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x96__invalid_work_queue_item.htm,INVALID_WORK_QUEUE_ITEM
0x00000097,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x97__bound_image_unsupported.htm,BOUND_IMAGE_UNSUPPORTED
0x00000098,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x98__end_of_nt_evaluation_period.htm,END_OF_NT_EVALUATION_PERIOD
0x00000099,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x99__invalid_region_or_segment.htm,INVALID_REGION_OR_SEGMENT
0x0000009A,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x9a__system_license_violation.htm,SYSTEM_LICENSE_VIOLATION
0x0000009B,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x9b__udfs_file_system.htm,UDFS_FILE_SYSTEM
0x0000009C,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x9c__machine_check_exception.htm,MACHINE_CHECK_EXCEPTION
0x0000009E,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x9e__user_mode_health_monitor.htm,USER_MODE_HEALTH_MONITOR
0x0000009F,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x9f__driver_power_state_failure.htm,DRIVER_POWER_STATE_FAILURE
0x000000A0,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xa0__internal_power_error.htm,INTERNAL_POWER_ERROR
0x000000A1,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xa1__pci_bus_driver_internal.htm,PCI_BUS_DRIVER_INTERNAL
0x000000A2,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xa2__memory_image_corrupt.htm,MEMORY_IMAGE_CORRUPT
0x000000A3,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xa3__acpi_driver_internal.htm,ACPI_DRIVER_INTERNAL
0x000000A4,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xa4__cnss_file_system_filter.htm,CNSS_FILE_SYSTEM_FILTER
0x000000A5,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xa5__acpi_bios_error.htm,ACPI_BIOS_ERROR
0x000000A7,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xa7__bad_exhandle.htm,BAD_EXHANDLE
0x000000AB,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xab__session_has_valid_pool_on_exit.htm,SESSION_HAS_VALID_POOL_ON_EXIT
0x000000AC,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xac__hal_memory_allocation.htm,HAL_MEMORY_ALLOCATION
0x000000AD,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xad__video_driver_debug_report_request.htm,VIDEO_DRIVER_DEBUG_REPORT_REQUEST
0x000000B4,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xb4__video_driver_init_failure.htm,VIDEO_DRIVER_INIT_FAILURE
0x000000B8,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xb8__attempted_switch_from_dpc.htm,ATTEMPTED_SWITCH_FROM_DPC
0x000000B9,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xb9__chipset_detected_error.htm,CHIPSET_DETECTED_ERROR
0x000000BA,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xba__session_has_valid_views_on_exit.htm,SESSION_HAS_VALID_VIEWS_ON_EXIT
0x000000BB,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xbb__network_boot_initialization_failed.htm,NETWORK_BOOT_INITIALIZATION_FAILED
0x000000BC,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xbc__network_boot_duplicate_address.htm,NETWORK_BOOT_DUPLICATE_ADDRESS
0x000000BE,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xbe__attempted_write_to_readonly_memory.htm,ATTEMPTED_WRITE_TO_READONLY_MEMORY
0x000000BF,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xbf__mutex_already_owned.htm,MUTEX_ALREADY_OWNED
0x000000C1,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xc1__special_pool_detected_memory_corruption.htm,SPECIAL_POOL_DETECTED_MEMORY_CORRUPTION
0x000000C2,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xc2__bad_pool_caller.htm,BAD_POOL_CALLER
0x000000C4,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xc4__driver_verifier_detected_violation.htm,DRIVER_VERIFIER_DETECTED_VIOLATION
